ID,Beta,Rho,Aniso_X,Aniso_Y,Aniso_Z,Area_Inner,Area_Outer,Total_Area,Volume,SA_Vol_Ratio,Porosity,Pore_Size
477,16.2528,0.557,23.51,19.05,10.79,4.5573,2.6799,7.2371,0.4112,17.5999,0.4791,0.2309
478,38.9658,0.3105,42.47,17.94,7.31,9.4705,1.4128,10.8833,0.2309,47.1321,0.7073,0.0202
479,15.797,0.6193,55.1,61.47,79.75,4.2237,2.8151,7.0388,0.4776,14.7384,0.3951,0.254
480,46.4242,0.6326,17.74,24.28,63.29,12.2715,3.264,15.5355,0.4985,31.1624,0.3684,0.0905
481,40.7963,0.4885,55.55,27.64,89.14,11.4287,2.4717,13.9004,0.3805,36.5338,0.5177,0.0955
482,20.2214,0.5945,13.35,6.16,29.2,5.4807,2.8831,8.3637,0.4752,17.5987,0.3977,0.2346
483,34.9193,0.494,61.78,25.74,56.79,9.8628,2.5814,12.4442,0.3898,31.9283,0.5061,0.1274
484,36.5439,0.5383,1.96,4.76,61.31,10.2447,2.7548,12.9995,0.4238,30.6733,0.463,0.123
485,46.2848,0.4132,69.66,54.82,77.46,12.8081,2.175,14.9831,0.3244,46.192,0.5889,0.0943
486,21.2055,0.3734,25.01,71.13,67.42,5.3774,1.7552,7.1325,0.2728,26.1415,0.6541,0.0189
487,43.5987,0.3208,16.39,76.82,71.47,10.7984,1.6419,12.4403,0.2392,51.9999,0.6968,0.0173
488,27.8315,0.6227,20.47,20.88,21.54,7.4822,3.0653,10.5475,0.4979,21.1851,0.3691,0.1389
489,46.313,0.3605,75.35,68.12,80.62,12.1462,1.9097,14.0558,0.275,51.1181,0.6515,0.0143
490,19.2544,0.5036,28.22,81.94,68.95,5.3733,2.4532,7.8265,0.3811,20.5376,0.5171,0.2168
491,34.3196,0.6201,74.31,73.14,87.99,9.1418,3.1099,12.2517,0.4904,24.984,0.3787,0.1132
492,15.7757,0.5867,74.1,25.67,16.37,4.3023,2.8206,7.1229,0.4551,15.652,0.4234,0.2514
493,27.2747,0.6598,76.02,28.4,36.25,nan,nan,nan,nan,nan,nan,nan
494,32.1515,0.5723,14.17,26.86,57.65,8.8474,2.9629,11.8103,0.4561,25.8968,0.4221,0.1339
495,19.4405,0.6285,65.66,76.36,60.59,5.282,3.1898,8.4718,0.4942,17.1432,0.374,0.1979
496,24.5115,0.394,23.15,16.34,25.88,6.5871,1.9384,8.5255,0.3008,28.3453,0.6186,0.0185
497,38.8884,0.3857,53.62,45.37,31.79,10.5147,1.9927,12.5074,0.299,41.8258,0.6211,0.0164
498,46.2622,0.698,25.88,8.6,11.69,11.2198,3.5724,14.7922,0.559,26.4614,0.2915,0.0987
499,46.8112,0.6148,29.51,12.72,41.9,12.5098,3.2139,15.7237,0.4854,32.3913,0.385,0.082
500,43.911,0.6773,9.38,69.42,55.74,11.0881,3.4099,14.4979,0.5352,27.0895,0.3217,0.0945
501,20.7215,0.3039,65.0,43.68,87.82,5.1419,1.5911,6.733,0.2345,28.7158,0.7028,0.017
502,20.337,0.3277,68.57,58.39,59.31,5.105,1.7599,6.8648,0.2556,26.859,0.6759,0.0179
503,21.4578,0.4891,52.3,88.13,44.37,5.9861,2.4235,8.4096,0.3714,22.643,0.5294,0.1841
